unit,sex,age,region,year,value
YR,M,Y44,PT,2013,35.2
YR,F,Y50,PT,2013,35.2
YR,M,Y60,PT,2013,21.6
YR,M,Y48,PT,2013,31.6
YR,T,Y32,PT,2013,49.6
YR,M,Y26,PT,2013,52.3
YR,F,Y80,PT,2013,9.8
YR,M,Y17,PT,2013,61.0
YR,F,Y4,PT,2013,80.3
YR,M,Y63,PT,2013,19.3
YR,F,Y79,PT,2013,10.4
YR,T,Y17,PT,2013,64.3
YR,F,Y72,PT,2013,15.7
YR,T,Y71,PT,2013,15.1
YR,F,Y_LT1,PT,2013,84.0
YR,T,Y7,PT,2013,74.2
YR,F,Y14,PT,2012,70.0
YR,M,Y52,PT,2012,28.0
YR,T,Y56,PT,2012,27.2
YR,M,Y47,PT,2012,32.3
YR,M,Y44,PT,2012,35.0
YR,F,Y50,PT,2012,34.9
YR,M,Y60,PT,2012,21.5
YR,M,Y48,PT,2012,31.4
YR,T,Y32,PT,2012,49.3
YR,M,Y26,PT,2012,52.0
YR,F,Y80,PT,2012,9.5
YR,M,Y17,PT,2012,60.8
YR,F,Y4,PT,2012,79.9
YR,M,Y63,PT,2012,19.1
YR,F,Y79,PT,2012,10.1
YR,T,Y17,PT,2012,64.0
YR,F,Y72,PT,2012,15.4
YR,T,Y71,PT,2012,14.9
YR,F,Y_LT1,PT,2012,83.6
YR,T,Y7,PT,2012,73.9
YR,F,Y14,PT,2011,70.2
YR,M,Y52,PT,2011,28.1
YR,T,Y56,PT,2011,27.4
YR,M,Y47,PT,2011,32.4
YR,M,Y44,PT,2011,35.1
YR,F,Y50,PT,2011,35.1
YR,M,Y60,PT,2011,21.6
YR,M,Y48,PT,2011,31.5
YR,T,Y32,PT,2011,49.5
YR,M,Y26,PT,2011,52.1
YR,F,Y80,PT,2011,9.9
YR,M,Y17,PT,2011,60.8
YR,F,Y4,PT,2011,80.1
YR,M,Y63,PT,2011,19.3
YR,F,Y79,PT,2011,10.5
YR,T,Y17,PT,2011,64.1
YR,F,Y72,PT,2011,15.7
YR,T,Y71,PT,2011,15.2
YR,F,Y_LT1,PT,2011,83.8
YR,T,Y7,PT,2011,74.0
YR,F,Y14,PT,2010,69.5
YR,M,Y52,PT,2010,27.6
YR,T,Y56,PT,2010,26.8
YR,M,Y47,PT,2010,31.9
YR,M,Y44,PT,2010,34.6
YR,F,Y50,PT,2010,34.6
YR,M,Y60,PT,2010,21.1
YR,M,Y48,PT,2010,31.0
YR,T,Y32,PT,2010,48.8
YR,M,Y26,PT,2010,51.5
YR,F,Y80,PT,2010,9.2
YR,M,Y17,PT,2010,60.2
YR,F,Y4,PT,2010,79.4
YR,M,Y63,PT,2010,18.8
YR,F,Y79,PT,2010,9.9
YR,T,Y17,PT,2010,63.4
YR,F,Y72,PT,2010,15.1
YR,T,Y71,PT,2010,14.6
YR,F,Y_LT1,PT,2010,83.2
YR,T,Y7,PT,2010,73.3
YR,F,Y14,PT,2009,69.2
YR,M,Y52,PT,2009,27.6
YR,T,Y56,PT,2009,26.7
YR,M,Y47,PT,2009,31.8
YR,M,Y44,PT,2009,34.5
YR,F,Y50,PT,2009,34.3
YR,M,Y60,PT,2009,21.0
YR,M,Y48,PT,2009,31.0
YR,T,Y32,PT,2009,48.6
YR,M,Y26,PT,2009,51.4
YR,F,Y80,PT,2009,9.1
YR,M,Y17,PT,2009,60.0
YR,F,Y4,PT,2009,79.1
YR,M,Y63,PT,2009,18.7
YR,F,Y79,PT,2009,9.8
YR,T,Y17,PT,2009,63.2
YR,F,Y72,PT,2009,14.9
YR,T,Y71,PT,2009,14.5
YR,F,Y_LT1,PT,2009,82.8
YR,T,Y7,PT,2009,73.1
YR,F,Y14,PT,2008,69.1
YR,M,Y52,PT,2008,27.4
YR,T,Y56,PT,2008,26.5
YR,M,Y47,PT,2008,31.6
YR,M,Y44,PT,2008,34.2
YR,F,Y50,PT,2008,34.2
YR,M,Y60,PT,2008,20.8
YR,M,Y48,PT,2008,30.7
YR,T,Y32,PT,2008,48.4
YR,M,Y26,PT,2008,51.0
YR,F,Y80,PT,2008,9.0
YR,M,Y17,PT,2008,59.7
YR,F,Y4,PT,2008,79.0
YR,M,Y63,PT,2008,18.5
YR,F,Y79,PT,2008,9.6
YR,T,Y17,PT,2008,63.0
YR,F,Y72,PT,2008,14.7
YR,T,Y71,PT,2008,14.3
YR,F,Y_LT1,PT,2008,82.7
YR,T,Y7,PT,2008,72.9
YR,F,Y14,PT,2007,68.9
YR,M,Y52,PT,2007,27.2
YR,T,Y56,PT,2007,26.3
YR,M,Y47,PT,2007,31.4
YR,M,Y44,PT,2007,34.1
YR,F,Y50,PT,2007,34.0
YR,M,Y60,PT,2007,20.7
YR,M,Y48,PT,2007,30.5
